fecha_anual_esp	titulo_anual_esp	expediente_icaa	confidence	reason	title_score	titulo_icaa	fecha_estreno_icaa	url
2025-10-17	hasta que me quede sin voz se realiza siguiendo el criterio de semanas cinematograficas	218325	alta	titulo y fecha exactos	1.0	HASTA QUE ME QUEDE SIN VOZ	17/10/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=218325
2023-03-10	hay alguien en el bosque		no encontrado	sin candidato aceptable				
2023-11-01	hay una puerta ahi se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2023-05-09	hazlo por mi		no encontrado	sin candidato aceptable				
2023-12-22	heavies tiernos paycom		no encontrado	sin candidato aceptable				
2025-05-29	helios gomez tinta y municion		no encontrado	sin candidato aceptable				
2021-08-28	herederas		no encontrado	sin candidato aceptable				
2021-05-14	herencia		no encontrado	sin candidato aceptable				
2025-11-07	heridos european		no encontrado	sin candidato aceptable				
2024-03-19	hermandad de los gitanos		no encontrado	sin candidato aceptable				
2017-06-23	hermanos del viento		no encontrado	sin candidato aceptable				
2019-05-10	hermanos sisters los avalon		no encontrado	sin candidato aceptable				
2024-08-30	heroes del central park		no encontrado	sin candidato aceptable				
2021-04-22	heroes silencio y rock roll		no encontrado	sin candidato aceptable				
2016-08-12	hielo		no encontrado	sin candidato aceptable				
2025-09-10	high club the		no encontrado	sin candidato aceptable				
2021-11-26	hija	154919	media	titulo fuerte; fecha cercana (15 dias)	1.0	LA HIJA	11/11/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=154919
2019-05-31	hija de alguien		no encontrado	sin candidato aceptable				
2025-05-23	hija del volcan		no encontrado	sin candidato aceptable				
2025-06-27	hijas del trueno las moon se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2019-04-12	hijo del acordeonista		no encontrado	sin candidato aceptable				
2025-10-16	hijos de dios		no encontrado	sin candidato aceptable				
2012-05-18	hijos de las nubes la ultima colonia		no encontrado	sin candidato aceptable				
2013-12-05	hijos de la tierra		no encontrado	sin candidato aceptable				
2020-02-21	hijos de san luis los phoenix		no encontrado	sin candidato aceptable				
2024-04-12	hispanoamerica canto a la vida y esperanza		no encontrado	sin candidato aceptable				
2024-05-24	historias	180023	alta	titulo y fecha exactos	1.0	HISTORIAS	24/05/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=180023
2025-11-14	historias de halloween se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2022-01-12	historias del agua phoenix		no encontrado	sin candidato aceptable				
2025-01-14	historias del poder y de la vida		no encontrado	sin candidato aceptable				
2025-03-10	historia una cancion		no encontrado	sin candidato aceptable				
2023-03-03	hogar		no encontrado	sin candidato aceptable				
2022-01-12	hola estas sola		no encontrado	sin candidato aceptable				
2025-03-28	hombre libre		no encontrado	sin candidato aceptable				
2022-10-21	hombre llamado flor de otono		no encontrado	sin candidato aceptable				
2021-03-25	hombre que lo queria ver todo		no encontrado	sin candidato aceptable				
2024-06-07	hombre sin miedo	153321	alta	titulo y fecha exactos	1.0	UN HOMBRE SIN MIEDO	07/06/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=153321
2025-03-16	hombre tranquilo		no encontrado	sin candidato aceptable				
2024-01-19	home dels nassos l		no encontrado	sin candidato aceptable				
2022-09-28	home e o can o		no encontrado	sin candidato aceptable				
2021-10-28	hondaela abismo marino		no encontrado	sin candidato aceptable				
2019-05-17	hospitalarios las manos de la virgen		no encontrado	sin candidato aceptable				
2020-09-30	hostal espana		no encontrado	sin candidato aceptable				
2022-03-05	hotel colon		no encontrado	sin candidato aceptable				
2025-01-10	human hibernation the		no encontrado	sin candidato aceptable				
2012-06-15	iceberg		no encontrado	sin candidato aceptable				
2019-04-05	identicas		no encontrado	sin candidato aceptable				
2019-11-15	idrissa cronica de una muerte cualquiera		no encontrado	sin candidato aceptable				
2016-12-02	igelak		no encontrado	sin candidato aceptable				
2017-06-15	ignacio de loyola european		no encontrado	sin candidato aceptable				
2023-05-29	ignifugas		no encontrado	sin candidato aceptable				
2023-06-02	ilegales 82		no encontrado	sin candidato aceptable				
2025-03-06	ilusion de verano		no encontrado	sin candidato aceptable				
2023-11-17	imatge permanent		no encontrado	sin candidato aceptable				
2012-10-11	imposible lo		no encontrado	sin candidato aceptable				
2025-09-05	impulso nomada		no encontrado	sin candidato aceptable				
2021-10-29	impuros	175621	alta	titulo y fecha exactos	1.0	IMPUROS	29/10/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=175621
2023-09-28	in albis		no encontrado	sin candidato aceptable				
2015-12-31	incidencias		no encontrado	sin candidato aceptable				
2018-01-25	indiscutible		no encontrado	sin candidato aceptable				
2016-02-13	infierno o paraiso		no encontrado	sin candidato aceptable				
2025-10-23	infiltrada en el bunker		no encontrado	sin candidato aceptable				
2019-06-21	influencia		no encontrado	sin candidato aceptable				
2016-02-05	informe general ii el nuevo rapto de europa		no encontrado	sin candidato aceptable				
